No,Heartbeat,Temperature,Spo2,UserCode,GyroX,GyroY,GyroZ,Time,Label
41,129,36.5,96,27,0.8,9.77,-1.7570249,1.25E+13,Standing
42,138,36.6,97,27,0.69,10.34,-1.6889231,1.25E+13,Standing
43,139,36.6,97,27,0.72,9.66,-1.3075534,1.25E+13,Standing
44,130,36.6,96,27,0.69,10,-1.3756552,1.25E+13,Standing
45,130,36.6,99,27,0.93,9.62,-1.4573772,1.25E+13,Standing
46,138,36.6,95,27,0.76,10.12,-1.607201,1.25E+13,Standing
47,128,36.7,97,27,0.93,9.72,-1.7978859,1.25E+13,Standing
48,141,36.6,99,27,0.76,10.23,-1.9885708,1.25E+13,Standing
49,141,36.6,97,27,0.76,9.23,-1.920469,1.25E+13,Standing
50,137,36.5,98,27,0.57,10.34,-2.1383946,1.25E+13,Standing
51,133,36.6,96,27,0.99,9.58,-1.879608,1.25E+13,Standing
52,137,36.5,96,27,1.33,10.04,-1.7978859,1.25E+13,Standing
53,140,36.7,96,27,1.61,9.85,-1.4165162,1.25E+13,Standing
54,138,36.6,96,27,0.61,10.15,-0.88532263,1.25E+13,Standing
55,136,36.6,96,27,0.53,9.58,-1.4573772,1.25E+13,Standing
56,135,36.5,97,27,0.15,10.19,-1.920469,1.25E+13,Standing
57,137,36.5,95,27,0.34,9.85,-1.334794,1.25E+13,Standing
58,135,36.5,98,27,0.8,10.31,-1.7978859,1.25E+13,Standing
59,142,36.5,97,27,0.69,9.53,-1.9477097,1.25E+13,Standing
60,137,36.6,95,27,0.8,9.92,-1.879608,1.25E+13,Standing
61,131,36.5,96,27,0.5,10.04,-1.1849703,1.25E+13,Standing
62,134,36.7,95,27,1.12,9.43,-1.7978859,1.25E+13,Standing
63,136,36.6,96,27,1.31,10.27,-1.2666923,1.25E+13,Standing
64,137,36.5,97,27,1.5,9.77,-1.607201,1.25E+13,Standing
65,142,36.7,99,27,0.46,10.04,-0.9125633,1.25E+13,Standing
66,134,36.6,99,27,0.31,9.85,-1.0760075,1.25E+13,Standing
67,135,36.7,99,27,0.61,10.19,-1.1849703,1.25E+13,Standing
68,142,36.5,95,27,0.72,9.81,-1.1849703,1.25E+13,Standing
69,128,36.5,98,27,1.04,9.92,-1.9885708,1.25E+13,Standing
70,133,36.7,99,27,0.99,9.77,-1.7297841,1.25E+13,Standing
71,137,36.6,96,27,0.76,10.04,-1.7978859,1.25E+13,Standing
72,132,36.6,97,27,0.69,9.81,-1.4982382,1.25E+13,Standing
73,128,36.6,98,27,0.8,10.27,-1.2258313,1.25E+13,Standing
74,131,36.6,95,27,0.8,9.43,-1.4573772,1.25E+13,Standing
75,131,36.6,96,27,1.04,9.92,-1.3075534,1.25E+13,Standing
76,139,36.6,96,27,1.04,10.19,-1.607201,1.25E+13,Standing
77,142,36.7,99,27,0.53,9.89,-1.6889231,1.25E+13,Standing
78,138,36.6,95,27,0.31,9.92,-1.7570249,1.25E+13,Standing
79,135,36.6,99,27,0.95,9.72,-1.6480621,1.25E+13,Standing
80,136,36.7,97,27,1.27,10.04,-1.7297841,1.25E+13,Standing
81,128,36.5,96,27,1.18,9.72,-1.525479,1.25E+13,Standing
82,138,36.5,99,27,0.84,10.08,-1.4573772,1.25E+13,Standing
83,136,36.5,96,27,0.76,9.77,-1.3756552,1.25E+13,Standing
84,131,36.7,95,27,0.65,10,-1.607201,1.25E+13,Standing
85,132,36.6,98,27,0.89,9.85,-1.4573772,1.25E+13,Standing
86,130,36.5,97,27,1.04,9.96,-1.607201,1.25E+13,Standing
87,137,36.7,95,27,0.89,9.89,-1.6889231,1.25E+13,Standing
88,133,36.5,97,27,0.61,9.77,-1.607201,1.25E+13,Standing
89,133,36.6,98,27,0.95,9.96,-1.8387469,1.25E+13,Standing
90,133,36.7,98,27,0.95,9.89,-1.525479,1.25E+13,Standing
91,133,36.7,99,27,0.53,10.04,-1.1849703,1.25E+13,Standing
92,140,36.7,97,27,1.04,9.92,-1.334794,1.25E+13,Standing
93,137,36.6,98,27,0.69,9.92,-1.334794,1.25E+13,Standing
94,133,36.6,98,27,0.99,9.81,-1.6480621,1.25E+13,Standing
95,132,36.6,96,27,0.84,9.81,-1.6480621,1.25E+13,Standing
96,128,36.6,95,27,0.95,9.81,-1.6889231,1.25E+13,Standing
97,136,36.6,95,27,0.69,9.89,-1.3756552,1.25E+13,Standing
98,132,36.6,98,27,0.84,9.89,-1.607201,1.25E+13,Standing
99,138,36.5,99,27,0.89,9.89,-1.3756552,1.25E+13,Standing
100,139,36.5,96,27,0.69,10.04,-1.3756552,1.25E+13,Standing
101,135,36.5,99,27,0.99,9.72,-1.607201,1.25E+13,Standing
102,133,36.7,96,27,0.69,9.77,-1.607201,1.25E+13,Standing
103,134,36.6,98,27,0.42,10.31,-1.607201,1.25E+13,Standing
104,137,36.6,97,27,-0.04,10.08,-1.879608,1.25E+13,Standing
105,136,36.6,96,27,0.11,9.47,-1.6480621,1.25E+13,Standing
106,130,36.5,95,27,1.14,9.96,-1.56634,1.25E+13,Standing
107,129,36.6,95,27,2.34,9.92,-0.6537767,1.25E+13,Standing
108,131,36.7,98,27,2.72,9.85,0.46309182,1.25E+13,Standing
109,138,36.7,99,27,1.5,9.51,-1.2258313,1.25E+13,Standing
110,130,36.6,96,27,0.76,10.08,-1.7978859,1.25E+13,Standing
111,131,36.6,98,27,-0.08,10.04,-1.2666923,1.25E+13,Standing
112,134,36.5,96,27,-0.42,10.15,-1.607201,1.25E+13,Standing
113,134,36.7,99,27,-0.19,9.77,-1.7297841,1.25E+13,Standing
114,130,36.6,97,27,0.61,9.96,-1.4982382,1.25E+13,Standing
115,134,36.7,98,27,1.23,9.72,-1.4982382,1.25E+13,Standing
116,128,36.7,95,27,0.99,10.08,-1.4573772,1.25E+13,Standing
117,135,36.6,96,27,0.99,10.08,-1.4573772,1.25E+13,Standing
118,132,36.6,97,27,0.53,10.04,-1.3075534,1.25E+13,Standing
119,129,36.6,99,27,-0.23,10.88,-1.4982382,1.25E+13,Standing
120,139,36.7,99,27,-0.99,8.69,-0.9125633,1.25E+13,Standing
121,138,36.5,99,27,2.03,10,-1.1849703,1.25E+13,Standing
122,130,36.6,97,27,1.73,9.77,-2.8330324,1.25E+13,Standing
123,133,36.7,99,27,2.34,10.34,-1.6889231,1.25E+13,Standing
124,129,36.7,96,27,0.69,9.72,-1.525479,1.25E+13,Standing
125,139,36.5,96,27,-1.73,10.53,0.95342433,1.25E+13,Standing
126,135,36.5,95,27,0.93,9.43,-1.2666923,1.25E+13,Standing
127,132,36.7,97,27,0.99,10.19,0.040861044,1.25E+13,Standing
128,137,36.7,98,27,0.61,9.66,-1.6889231,1.25E+13,Standing
129,134,36.5,97,27,0.15,10.34,-1.4573772,1.25E+13,Standing
130,131,36.7,97,27,0.34,9.58,0.92618364,1.25E+13,Standing
131,132,36.7,98,27,5.52,10.65,-2.4516625,1.25E+13,Standing
132,136,36.5,95,27,-6.51,10.12,0.23154591,1.25E+13,Standing
133,137,36.6,95,27,1.73,9.34,-0.6537767,1.25E+13,Standing
134,128,36.6,99,27,0.53,9.92,-1.1441092,1.25E+13,Standing
135,130,36.6,96,27,1.42,9.43,-2.1111538,1.25E+13,Standing
136,133,36.7,97,27,0.8,10.42,-0.7218784,1.25E+13,Standing
137,137,36.6,95,27,0.38,9.92,-1.3075534,1.25E+13,Standing
138,132,36.6,95,27,1.08,9.81,-1.1849703,1.25E+13,Standing
139,142,36.5,96,27,0.76,9.92,-1.56634,1.25E+13,Standing
140,131,36.7,96,27,-0.38,10.76,0.14982383,1.25E+13,Standing
141,138,36.5,96,27,-0.65,9.3,-1.0351465,1.25E+13,Standing
142,132,36.6,99,27,0.95,9.81,-1.920469,1.25E+13,Standing
143,138,36.5,97,27,1.27,10.27,-1.334794,1.25E+13,Standing
144,140,36.5,95,27,1.23,9.77,-1.3075534,1.25E+13,Standing
145,136,36.6,99,27,0.57,9.89,-1.4573772,1.25E+13,Standing
146,135,36.5,95,27,0.27,10,-0.84446156,1.25E+13,Standing
147,140,36.6,96,27,1.14,9.85,-1.2666923,1.25E+13,Standing
148,131,36.7,98,27,0.19,10.12,-1.56634,1.25E+13,Standing
149,133,36.5,95,27,0.61,9.92,-1.1849703,1.25E+13,Standing
150,129,36.5,98,27,0.69,10.12,-1.334794,1.25E+13,Standing
151,129,36.6,99,27,0.76,9.66,-1.525479,1.25E+13,Standing
152,132,36.5,97,27,0.69,9.92,-1.7570249,1.25E+13,Standing
153,139,36.7,97,27,1.04,9.81,-1.3756552,1.25E+13,Standing
154,129,36.5,96,27,0.95,9.96,-1.3075534,1.25E+13,Standing
155,142,36.7,98,27,0.69,9.81,-1.1441092,1.25E+13,Standing
156,137,36.6,99,27,0.8,9.85,-1.2258313,1.25E+13,Standing
157,134,36.5,99,27,1.04,9.96,-1.525479,1.25E+13,Standing
158,132,36.5,97,27,0.84,10.12,-1.2666923,1.25E+13,Standing
159,129,36.7,96,27,0.72,9.77,-1.4982382,1.25E+13,Standing
160,131,36.6,95,27,0.61,9.77,-1.4165162,1.25E+13,Standing
161,139,36.5,96,27,1.12,9.66,-1.3756552,1.25E+13,Standing
162,141,36.6,99,27,1.54,10.08,-1.1441092,1.25E+13,Standing
163,128,36.7,99,27,1.5,9.81,-1.1441092,1.25E+13,Standing
164,130,36.5,97,27,0.95,10.04,-1.3075534,1.25E+13,Standing
165,129,36.5,96,27,0.8,9.72,-1.525479,1.25E+13,Standing
166,130,36.6,96,27,0.5,10,-1.7297841,1.25E+13,Standing
167,135,36.6,99,27,0.46,9.81,-1.7297841,1.25E+13,Standing
168,130,36.5,99,27,0.53,9.92,-1.8387469,1.25E+13,Standing
169,135,36.7,98,27,1.18,9.66,-1.607201,1.25E+13,Standing
170,140,36.7,97,27,1.23,10.31,-1.6480621,1.25E+13,Standing
171,128,36.5,97,27,0.8,9.72,-1.56634,1.25E+13,Standing
172,135,36.5,97,27,0.31,10,-1.3756552,1.25E+13,Standing
173,139,36.6,98,27,0.95,9.7,-1.7978859,1.25E+13,Standing
174,139,36.6,96,27,1.23,10,-1.607201,1.25E+13,Standing
175,132,36.6,96,27,0.95,9.72,-1.879608,1.25E+13,Standing
176,131,36.5,98,27,0.8,9.96,-1.525479,1.25E+13,Standing
177,133,36.6,97,27,2.3,9.72,-1.7570249,1.25E+13,Standing
178,134,36.5,99,27,-0.11,10,-0.61291564,1.25E+13,Standing
179,138,36.6,95,27,0.65,9.81,-0.9942854,1.25E+13,Standing
180,128,36.7,98,27,1.18,9.85,-1.8387469,1.25E+13,Standing
181,137,36.6,99,27,1.23,9.89,-1.6480621,1.25E+13,Standing
182,138,36.5,95,27,0.95,9.92,-1.9885708,1.25E+13,Standing
183,139,36.6,98,27,0.89,9.66,-1.607201,1.25E+13,Standing
184,142,36.7,98,27,1.33,9.92,-1.56634,1.25E+13,Standing
185,131,36.7,97,27,1.69,9.77,-1.2666923,1.25E+13,Standing
186,140,36.6,99,27,0.76,9.92,-0.9942854,1.25E+13,Standing
187,133,36.6,98,27,0.23,9.92,-1.56634,1.25E+13,Standing
188,130,36.6,95,27,0.42,10.23,-1.4573772,1.25E+13,Standing
189,136,36.7,97,27,0.95,9.81,-1.879608,1.25E+13,Standing
190,142,36.6,97,27,1.18,9.81,-1.6889231,1.25E+13,Standing
191,131,36.7,96,27,1.42,9.62,-1.7978859,1.25E+13,Standing
192,131,36.5,97,27,1.04,9.92,-1.607201,1.25E+13,Standing
193,135,36.6,95,27,0.61,9.85,-1.4573772,1.25E+13,Standing
194,142,36.5,95,27,0.8,10.19,-0.95342433,1.25E+13,Standing
195,131,36.5,98,27,0.89,9.81,-1.1168685,1.25E+13,Standing
196,132,36.6,97,27,0.95,9.89,-1.2258313,1.25E+13,Standing
197,139,36.5,99,27,1.38,9.7,-1.4165162,1.25E+13,Standing
198,142,36.7,95,27,1.95,9.77,-1.4573772,1.25E+13,Standing
199,136,36.7,97,27,1.69,9.77,-1.3075534,1.25E+13,Standing
200,134,36.7,95,27,0.65,9.96,-1.4165162,1.25E+13,Standing
201,137,36.6,99,27,-0.11,9.96,-0.95342433,1.25E+13,Standing
202,134,36.6,96,27,0.93,10,-1.1849703,1.25E+13,Standing
203,140,36.6,99,27,1.61,9.96,-0.7627395,1.25E+13,Standing
204,129,36.7,96,27,0.89,9.85,-1.4982382,1.25E+13,Standing
205,129,36.6,98,27,0.08,10.08,-1.2258313,1.25E+13,Standing
206,133,36.7,99,27,0,10,-0.50395286,1.25E+13,Standing
207,137,36.7,99,27,0.89,9.47,-3.6774938,1.25E+13,Standing
208,136,36.6,98,27,0.99,10.34,0.08172209,1.25E+13,Standing
209,130,36.6,99,27,0.89,9.85,0.42223078,1.25E+13,Standing
210,132,36.5,98,27,0.5,9.72,-2.4108016,1.25E+13,Standing
211,138,36.7,96,27,0.89,10.04,-1.1849703,1.25E+13,Standing
212,141,36.7,98,27,1.33,9.77,-1.6480621,1.25E+13,Standing
213,140,36.6,99,27,0.76,10.04,-1.7297841,1.25E+13,Standing
214,141,36.6,97,27,0.08,9.72,-1.2666923,1.25E+13,Standing
215,134,36.6,96,27,0.38,10.19,-0.95342433,1.25E+13,Standing
216,139,36.6,95,27,0.84,9.96,-0.7218784,1.25E+13,Standing
217,132,36.5,97,27,0.15,9.89,-1.2258313,1.25E+13,Standing
218,131,36.5,95,27,0.38,10.04,-1.334794,1.25E+13,Standing
219,137,36.5,96,27,0.76,9.92,-1.334794,1.25E+13,Standing
220,141,36.5,95,27,0.72,9.89,-0.9942854,1.25E+13,Standing
221,140,36.6,98,27,0.34,10,-0.88532263,1.25E+13,Standing
222,142,36.7,98,27,0.65,9.77,-1.1168685,1.25E+13,Standing
223,135,36.5,98,27,0.42,9.89,-1.334794,1.25E+13,Standing
224,138,36.6,95,27,0.57,9.85,-1.2258313,1.25E+13,Standing
225,136,36.6,98,27,0.76,9.89,-0.9125633,1.25E+13,Standing
226,131,36.6,99,27,0.61,9.92,-0.84446156,1.25E+13,Standing
227,142,36.5,96,27,0.5,10.08,-0.8036005,1.25E+13,Standing
228,135,36.6,98,27,0.61,9.85,-1.2666923,1.25E+13,Standing
229,132,36.7,97,27,0.69,9.92,-1.4982382,1.25E+13,Standing
230,140,36.6,95,27,0.57,10.04,-1.334794,1.25E+13,Standing
231,135,36.6,99,27,-0.15,10.12,-1.3075534,1.25E+13,Standing
232,136,36.5,98,27,0.89,9.66,-0.5720546,1.25E+13,Standing
233,132,36.6,95,27,1.31,9.81,-1.6480621,1.25E+13,Standing
234,129,36.6,98,27,0.95,9.89,-1.525479,1.25E+13,Standing
235,138,36.6,97,27,0.5,9.96,-1.56634,1.25E+13,Standing
236,139,36.5,99,27,0.38,10.08,-1.607201,1.25E+13,Standing
237,129,36.7,99,27,0.38,9.85,-0.95342433,1.25E+13,Standing
238,133,36.6,95,27,0.69,10.12,-0.95342433,1.25E+13,Standing
239,129,36.6,99,27,1.04,9.77,-1.334794,1.25E+13,Standing
240,129,36.5,95,27,0.95,10.12,-1.3756552,1.25E+13,Standing
241,131,36.7,95,27,0.89,9.62,-1.607201,1.25E+13,Standing
242,133,36.6,98,27,0.19,10.23,-1.525479,1.25E+13,Standing
243,130,36.7,99,27,1.42,9.96,-0.7218784,1.25E+13,Standing
244,140,36.6,95,27,1.88,9.96,-1.607201,1.25E+13,Standing
245,139,36.6,98,27,1.31,9.43,-1.6889231,1.25E+13,Standing
246,137,36.6,98,27,0.8,10.27,-1.879608,1.25E+13,Standing
247,139,36.6,97,27,0.69,9.51,-1.6480621,1.25E+13,Standing
248,128,36.5,95,27,0.76,9.89,-1.7297841,1.25E+13,Standing
249,142,36.6,96,27,0.31,10.57,-1.4573772,1.25E+13,Standing
250,132,36.5,99,27,-0.23,9.77,-1.1849703,1.25E+13,Standing
251,134,36.6,96,27,-0.91,9.89,-1.6480621,1.25E+13,Standing
252,136,36.6,99,27,0.42,9.58,-1.4165162,1.25E+13,Standing
253,141,36.7,97,27,1.88,10.15,-1.4573772,1.25E+13,Standing
254,138,36.6,97,27,2.68,9.96,-1.3756552,1.25E+13,Standing
255,131,36.6,95,27,3.11,9.47,-0.8036005,1.25E+13,Standing
256,130,36.6,99,27,1.99,9.77,-1.0351465,1.25E+13,Standing
257,135,36.5,96,27,1.14,10.15,-1.8387469,1.25E+13,Standing
258,139,36.7,96,27,0.72,9.38,-1.56634,1.25E+13,Standing
259,135,36.6,99,27,0.27,10.42,-1.4982382,1.25E+13,Standing
260,139,36.7,95,27,-0.15,9.96,-1.6889231,1.25E+13,Standing
261,134,36.7,99,27,-0.08,9.96,-1.7297841,1.25E+13,Standing
262,139,36.6,95,27,0.93,9.85,-1.7297841,1.25E+13,Standing
263,130,36.6,98,27,1.61,9.77,-1.7570249,1.25E+13,Standing
264,132,36.6,99,27,1.61,9.92,-1.6480621,1.25E+13,Standing
265,131,36.5,95,27,0.99,9.89,-1.607201,1.25E+13,Standing
266,131,36.5,96,27,0.5,9.92,-1.4573772,1.25E+13,Standing
267,140,36.6,96,27,0.89,9.85,-1.2666923,1.25E+13,Standing
268,141,36.6,96,27,0.93,10.15,-1.3756552,1.25E+13,Standing
269,136,36.7,99,27,1.08,9.72,-1.4165162,1.25E+13,Standing
270,136,36.5,97,27,1.38,10.08,-1.56634,1.25E+13,Standing
271,141,36.6,96,27,1.18,9.92,-1.607201,1.25E+13,Standing
272,138,36.6,96,27,0.5,10.08,-1.6889231,1.25E+13,Standing
273,140,36.6,99,27,0.46,9.47,-1.6480621,1.25E+13,Standing
274,130,36.5,97,27,1.04,9.92,-1.7297841,1.25E+13,Standing
275,137,36.6,95,27,1.27,10.12,-1.7978859,1.25E+13,Standing
276,142,36.7,98,27,0.69,9.77,-1.7297841,1.25E+13,Standing
277,139,36.6,99,27,0.72,9.81,-1.525479,1.25E+13,Standing
278,128,36.6,96,27,1.57,9.92,-1.56634,1.25E+13,Standing
279,141,36.5,98,27,1.57,9.81,-1.4573772,1.25E+13,Standing
280,139,36.5,99,27,0.8,9.92,-1.1849703,1.25E+13,Standing
281,130,36.7,99,27,0.65,9.96,-1.525479,1.25E+13,Standing
282,138,36.5,98,27,1.04,9.72,-1.4982382,1.26E+13,Standing
283,128,36.6,97,27,1.08,9.92,-1.6889231,1.26E+13,Standing
284,132,36.6,99,27,1.04,9.77,-1.56634,1.26E+13,Standing
285,135,36.6,98,27,0.8,9.92,-1.56634,1.26E+13,Standing
286,140,36.7,99,27,0.84,9.96,-1.2666923,1.26E+13,Standing
287,139,36.6,95,27,0.93,10,-1.3756552,1.26E+13,Standing
288,134,36.5,99,27,0.84,9.7,-1.3075534,1.26E+13,Standing
289,138,36.5,97,27,1.04,9.89,-1.4573772,1.26E+13,Standing
290,142,36.6,95,27,1.14,9.7,-1.4982382,1.26E+13,Standing
291,141,36.6,99,27,0.76,10.12,-1.4165162,1.26E+13,Standing
292,134,36.6,97,27,0.8,9.85,-1.1441092,1.26E+13,Standing
293,133,36.6,97,27,0.93,10,-1.1168685,1.26E+13,Standing
294,139,36.6,98,27,0.95,9.77,-1.2666923,1.26E+13,Standing
295,129,36.7,99,27,1.08,9.92,-1.2258313,1.26E+13,Standing
296,131,36.5,95,27,1.18,9.85,-1.4165162,1.26E+13,Standing
297,142,36.5,96,27,0.93,9.89,-1.1849703,1.26E+13,Standing
298,138,36.6,98,27,0.72,10.04,-1.2666923,1.26E+13,Standing
299,141,36.7,99,27,0.65,10.08,-1.1849703,1.26E+13,Standing
300,132,36.6,95,27,0.95,9.72,-1.2258313,1.26E+13,Standing
301,134,36.5,97,27,1.08,9.85,-1.4165162,1.26E+13,Standing
302,134,36.6,97,27,0.8,10,-0.9942854,1.26E+13,Standing
303,138,36.5,95,27,0.8,10.38,-0.88532263,1.26E+13,Standing
304,132,36.7,97,27,0.15,9.58,-1.2666923,1.26E+13,Standing
305,136,36.5,95,27,1.08,9.72,-1.0351465,1.26E+13,Standing
306,128,36.6,96,27,1.99,9.38,-1.525479,1.26E+13,Standing
307,134,36.6,96,27,2.18,10.08,-1.1168685,1.26E+13,Standing
308,133,36.5,96,27,1.14,9.89,-0.7627395,1.26E+13,Standing
309,130,36.6,98,27,0.27,9.92,-0.6946377,1.26E+13,Standing
310,138,36.6,98,27,0.99,10,-0.61291564,1.26E+13,Standing
311,141,36.7,95,27,0.27,9.72,-2.5333846,1.26E+13,Standing
312,142,36.6,97,27,1.57,9.62,-0.61291564,1.26E+13,Standing
313,129,36.6,95,27,1.5,10.34,-1.920469,1.26E+13,Standing
314,136,36.6,99,27,-0.27,10.15,-1.525479,1.26E+13,Standing
315,134,36.6,98,27,-1.42,10.08,-1.525479,1.26E+13,Standing
316,137,36.6,95,27,-0.89,9.81,-1.9477097,1.26E+13,Standing
317,142,36.6,98,27,0.31,10.27,-1.9477097,1.26E+13,Standing
318,129,36.5,98,27,0.76,9.38,-2.0294318,1.26E+13,Standing
319,129,36.7,97,27,1.69,9.66,-1.3756552,1.26E+13,Standing
320,131,36.6,97,27,2.53,10.57,-0.8036005,1.26E+13,Standing
321,138,36.7,97,27,1.88,9.38,-0.08172209,1.26E+13,Standing
322,140,36.7,96,27,0.65,9.89,-1.2258313,1.26E+13,Standing
323,137,36.6,97,27,-0.15,10.19,-1.2258313,1.26E+13,Standing
324,140,36.5,99,27,-0.08,10,-1.7297841,1.26E+13,Standing
325,128,36.6,98,27,0.19,9.89,-1.7570249,1.26E+13,Standing
326,128,36.7,99,27,0.89,9.66,-1.6889231,1.26E+13,Standing
327,129,36.7,95,27,1.73,9.62,-1.56634,1.26E+13,Standing
328,138,36.6,95,27,1.92,10,-0.9942854,1.26E+13,Standing
329,139,36.6,98,27,1.18,9.89,-0.88532263,1.26E+13,Standing
330,132,36.7,99,27,1.42,9.81,-0.84446156,1.26E+13,Standing
331,129,36.6,98,27,1.46,9.81,-1.4573772,1.26E+13,Standing
332,142,36.6,95,27,0.19,10.27,-2.0294318,1.26E+13,Standing
333,140,36.6,97,27,-1.53,9.92,-1.7570249,1.26E+13,Standing
334,128,36.7,96,27,-2.6,10.31,-1.920469,1.26E+13,Standing
335,139,36.6,95,27,-0.84,9.11,-1.920469,1.26E+13,Standing
336,132,36.6,97,27,0.99,10.76,-0.88532263,1.26E+13,Standing
337,130,36.5,99,27,2.64,10.5,1.1441092,1.26E+13,Standing
338,138,36.7,97,27,2.07,9.66,-0.53119355,1.26E+13,Standing
339,141,36.7,98,27,2.07,9.66,-0.53119355,1.26E+13,Standing
340,136,36.6,95,27,0.69,9.51,-1.607201,1.26E+13,Standing
341,136,36.6,96,27,0.76,9.66,-1.6480621,1.26E+13,Standing
342,136,36.6,98,27,1.54,9.58,-1.56634,1.26E+13,Standing
343,139,36.7,96,27,1.73,10.34,-1.3075534,1.26E+13,Standing
344,133,36.6,95,27,0.11,10.57,0.27240697,1.26E+13,Standing
345,131,36.6,99,27,-0.42,9.72,-1.2258313,1.26E+13,Standing
346,142,36.5,98,27,-0.38,9.28,-1.6480621,1.26E+13,Standing
347,128,36.5,95,27,0.15,10,-1.56634,1.26E+13,Standing
348,135,36.6,96,27,1.14,10.08,-1.525479,1.26E+13,Standing
349,140,36.6,97,27,1.84,10.27,-1.4573772,1.26E+13,Standing
350,140,36.5,96,27,1.23,10,-0.61291564,1.26E+13,Standing
351,137,36.5,96,27,0.8,9.89,-1.525479,1.26E+13,Standing
352,133,36.6,99,27,0.5,9.77,-1.7570249,1.26E+13,Standing
353,140,36.7,95,27,0.34,9.85,-1.607201,1.26E+13,Standing
354,136,36.7,95,27,0.42,10,-1.7978859,1.26E+13,Standing
355,136,36.5,95,27,0.46,10.04,-1.9885708,1.26E+13,Standing
356,133,36.5,95,27,0.42,9.92,-1.7570249,1.26E+13,Standing
357,128,36.6,99,27,0.42,9.92,-1.7570249,1.26E+13,Standing
358,133,36.6,98,27,0.34,9.89,-1.7570249,1.26E+13,Standing
359,128,36.6,98,27,0.89,9.89,-1.607201,1.26E+13,Standing
360,140,36.7,96,27,0.95,10.04,-1.4573772,1.26E+13,Standing
361,136,36.6,95,27,0.8,9.89,-0.7218784,1.26E+13,Standing
362,142,36.7,95,27,0.61,10,-1.334794,1.26E+13,Standing
363,131,36.5,96,27,0.61,9.81,-1.1441092,1.26E+13,Standing
364,140,36.6,98,27,0.93,9.89,-1.6889231,1.26E+13,Standing
365,139,36.6,98,27,1.18,9.77,-1.4165162,1.26E+13,Standing
366,132,36.6,95,27,1.08,10,-1.2666923,1.26E+13,Standing
367,133,36.6,96,27,0.84,9.77,-1.1441092,1.26E+13,Standing
368,140,36.7,99,27,0.61,10.15,-1.3075534,1.26E+13,Standing
